qual,dp
3.45,27
3.62,2
3.73,15
3.29,82
3.05,19
3.69,10
3.37,11
3.64,13
3.78,23
3.02,6
3.14,8
3.2,16
3.32,20
3.39,8
3.48,15
3.46,7
3.21,40
3.1,48
3.58,12
3.93,5
3.54,55
3.38,54
3.77,32
3.96,6
3.94,5
3.44,39
3.67,7
3.62,137
3.14,22
3.03,30
3.19,11
3.74,45
3.08,21
3.71,8
3.41,8
3.05,34
3.63,21
3.1,13
3.12,5
3.21,20
3.19,18
3.87,208
3.76,10
3.04,6
3.55,5
3.26,33
3.48,24
3.96,9
3.46,35
3.28,8
3.98,9
3.99,6
3.21,90
3.62,53
3.56,6
3.75,5
3.1,8
3.88,17
3.62,14
3.15,10
3.3,7
3.83,5
3.74,12
3.74,65
3.04,31
3.8,5
3.3,13
3.55,5
3.11,21
3.13,57
3.82,4
3.1,42
3.6,12
3.02,12
3.85,6
3.8,12
3.13,4
3.27,26
3.95,211
3.32,6
3.79,25
3.35,20
3.57,15
3.11,93
3.25,7
3.29,18
3.31,5
3.06,17
3.42,79
3.12,29
3.4,7
3.98,32
3.07,18
3.73,9
3.12,103
3.72,10
3.51,54
3.14,8
3.8,5
3.11,54
3.04,84
3.75,288
3.79,157
3.79,10
3.93,8
3.15,6
3.31,5
3.02,12
3.18,7
3.99,4
3.39,13
3.81,16
3.53,3
3.95,16
3.19,111
3.72,18
3.64,106
3.3,21
3.62,18
3.13,21
3.84,8
3.49,7
3.45,13
3.04,36
3.49,8
3.85,7
3.15,4
3.57,22
3.25,55
3.1,23
3.08,7
3.69,122
3.04,15
3.78,13
3.16,25
3.14,12
3.72,6
3.23,8
3.45,178
3.15,10
3.95,14
3.99,87
3.84,8
3.84,134
3.92,27
3.8,169
3.66,9
3.58,49
3.55,13
3.12,7
3.72,19
3.26,18
3.29,6
3.84,5
3.36,11
3.44,12
3.73,13
3.46,25
3.79,39
3.1,7
3.42,2
3.31,12
3.71,9
3.04,6
3.3,22
3.5,6
3.19,8
3.96,35
3.45,17
3.84,12
3.15,408
3.65,10
3.38,22
3.28,6
3.55,7
3.1,56
3.21,19
3.02,6
3.82,30
3.24,9
3.06,13
3.57,13
3.41,11
3.75,22
3.67,7
3.09,10
3.6,37
3.35,10
3.9,53
3.16,32
3.99,3
3.31,16
3.33,25
3.81,6
3.84,82
3.21,17
3.86,80
3.82,6
3.48,6
3.49,12
3.44,18
3.24,45
3.45,20
3.38,18
3.7,11
3.29,25
3.88,78
3.02,14
3.93,4
3.55,52
3.07,12
3.05,54
3.66,7
3.6,77
3.43,17
3.22,49
3.59,22
3.6,15
3.09,46
3.91,108
3.35,46
3.72,5
3.8,32
3.47,8
3.97,19
3.44,5
3.38,14
3.29,7
3.51,11
3.76,5
3.04,10
3.2,4
3.95,24
3.43,6
3.49,26
3.1,11
3.49,14
3.16,3
3.24,4
3.94,7
3.28,6
3.06,9
3.17,20
3.77,8
3.23,6
3.19,15
3.03,154
3.04,60
3.85,7
3.14,12
3.91,6
3.55,17
3.59,36
3.87,102
3.43,24
3.3,6
3.35,6
3.73,222
3.32,40
3.65,8
3.98,130
3.57,9
3.37,48
3.85,67
3.51,28
3.16,6
3.56,4
3.29,13
3.08,68
3.02,5
3.95,17
3.89,49
3.98,5
3.13,11
3.11,109
3.86,39
3.16,57
3.99,5
3.9,28
3.98,66
3.54,9
3.2,10
3.44,6
3.6,34
3.15,3
3.75,29
3.84,7
3.01,9
3.26,64
3.14,19
3.8,7
3.63,130
3.27,26
3.28,13
3.6,8
3.73,59
3.23,72
3.53,72
3.8,5
3.28,24
3.71,17
3.4,84
3.81,4
3.34,18
3.82,22
3.08,13
3.34,9
3.52,9
3.2,38
3.15,22
3.35,12
3.15,3
3.67,38
3.71,350
3.85,6
3.69,11
3.69,3
3.34,115
3.99,5
3.34,66
3.91,14
3.73,14
3.74,5
3.48,8
3.38,7
3.22,69
3.72,11
3.14,15
3.95,5
3.22,58
3.97,5
3.99,2
3.81,13
3.62,3
3.2,8
3.76,17
3.08,53
3.84,5
3.38,57
3.03,15
3.91,9
3.99,7
3.7,5
3.51,143
3.86,12
3.47,36
3.9,141
3.55,11
3.01,53
3.38,195
3.85,41
3.12,186
3.35,82
3.19,19
3.66,58
3.12,11
3.89,60
3.26,3
3.41,20
3.45,56
3.28,10
3.14,24
3.99,14
3.02,8
3.05,8
3.13,19
3.3,4
3.3,4
3.13,18
3.74,11
3.4,28
3.25,10
3.01,15
3.53,13
3.45,18
3.29,7
3.47,70
3.35,68
3.26,8
3.12,6
3.76,13
3.48,24
3.05,13
3.96,5
3.82,67
3.67,71
3.02,7
3.12,27
3.44,5
3.21,39
3.47,31
3.49,14
3.08,24
3.08,38
3.58,49
3.27,8
3.16,33
3.8,5
3.31,5
3.28,7
3.58,21
3.67,34
3.32,37
3.24,57
3.12,227
3.07,42
3.46,18
3.8,16
3.66,15
3.99,2
3.09,44
3.58,9
3.73,9
3.04,16
3.4,9
3.44,23
3.54,9
3.75,22
3.25,14
3.03,5
3.71,6
3.14,21
3.51,12
3.25,7
3.48,10
3.77,3
3.78,11
3.34,9
3.14,4
3.13,133
3.15,13
3.33,8
3.99,24
3.2,24
3.72,31
3.15,11
3.03,16
3.29,11
3.38,32
3.74,9
3.44,10
3.92,45
3.63,10
3.97,26
3.81,113
3.42,39
3.83,5
3.7,9
3.18,3
3.37,41
3.27,12
3.09,19
3.55,6
3.91,10
3.53,22
3.72,15
3.35,6
3.95,39
3.02,25
3.72,152
3.38,16
3.9,5
3.67,212
3.22,17
3.69,3
3.78,3
3.1,13
3.76,20
3.27,21
3.66,34
3.14,53
3.66,14
3.68,34
3.89,82
3.51,22
3.87,6
3.36,10
3.13,4
3.99,4
3.03,33
3.08,145
3.57,6
3.19,208
3.41,6
3.39,19
3.31,6
3.45,17
3.63,10
3.99,2
3.65,37
3.9,7
3.37,44
3.08,13
3.71,6
3.38,69
3.75,19
3.02,22
3.83,3
3.23,46
3.96,49
3.92,4
3.59,16
3.3,45
3.81,12
3.34,9
3.31,17
3.45,19
3.36,11
3.83,10
3.44,19
3.8,7
3.63,2
3.39,4
3.95,32
3.11,4
3.21,12
3.03,32
3.54,39
3.71,20
3.53,8
3.79,42
3.06,88
3.81,5
3.96,107
3.22,129
3.2,99
3.84,19
3.93,78
3.03,90
3.31,9
3.46,26
3.45,21
3.44,5
3.98,105
3.99,10
3.03,8
3.43,9
3.71,7
3.51,46
3.15,4
3.88,41
3.68,6
3.99,33
3.71,16
3.37,10
3.03,12
3.83,76
3.26,43
3.21,12
3.29,28
3.84,8
3.35,4
3.18,12
3.08,59
3.6,17
3.85,69
3.49,52
3.52,9
3.92,13
3.46,41
3.47,51
3.99,12
3.07,121
3.8,24
3.36,4
3.13,11
3.04,38
3.95,9
3.36,13
3.89,5
3.28,5
3.63,27
3.6,13
3.3,5
3.21,21
3.07,13
3.4,19
3.06,29
3.13,85
3.94,18
3.26,15
3.47,44
3.53,12
3.56,143
3.03,8
3.34,9
3.51,38
3.25,59
3.04,10
3.97,24
3.39,22
3.98,19
3.11,4
3.3,14
3.23,33
3.46,4
3.46,7
3.45,7
3.59,51
3.15,8
3.8,10
3.68,12
3.11,2
3.83,53
3.01,10
3.75,14
3.1,23
3.24,28
3.95,9
3.66,24
3.24,30
3.96,8
3.66,6
3.51,11
3.25,4
3.92,216
3.45,7
3.52,125
3.5,65
3.46,72
3.4,8
3.05,30
3.53,8
3.31,8
3.92,92
3.37,7
3.4,26
3.14,5
3.28,7
3.55,6
3.16,13
3.2,8
3.25,21
3.43,38
3.79,10
3.64,14
3.97,74
3.53,8
3.81,6
3.99,13
3.53,17
3.03,10
3.76,94
3.25,34
3.1,10
3.47,11
3.32,10
3.25,6
3.85,8
3.4,62
3.55,26
3.11,31
3.39,30
3.5,21
3.99,8
3.56,2
3.09,9
3.37,6
3.63,5
3.64,3
3.31,20
3.97,28
3.62,17
3.03,119
3.78,13
3.07,23
3.55,111
3.12,27
3.46,19
3.67,4
3.87,6
3.36,565
3.95,25
3.89,19
3.26,20
3.94,19
3.53,17
3.59,10
3.87,31
3.23,5
3.99,31
3.02,9
3.61,6
3.24,22
3.44,6
3.77,389
3.31,5
3.81,5
3.92,5
3.17,15
3.78,10
3.32,8
3.06,33
3.28,24
3.47,24
3.58,12
3.31,42
3.88,20
3.85,35
3.5,13
3.08,13
3.17,13
3.8,10
3.99,4
3.73,15
3.29,25
3.59,18
3.07,18
3.03,2
3.76,17
3.21,123
3.55,12
3.42,48
3.06,6
3.35,7
3.69,33
3.09,11
3.17,7
3.71,9
3.99,6
3.57,10
3.98,101
3.6,38
3.1,7
3.75,6
3.68,12
3.27,21
3.41,20
3.62,37
3.59,8
3.63,4
3.6,21
3.34,226
3.61,8
3.15,4
3.7,13
3.59,13
3.09,7
3.27,15
3.33,19
3.21,21
3.3,9
3.62,3
3.82,12
3.13,19
3.17,16
3.72,9
3.64,64
3.37,93
3.8,3
3.71,6
3.25,18
3.11,9
3.46,23
3.06,67
3.46,43
3.09,6
3.74,24
3.27,3
3.46,37
3.16,3
3.35,6
3.15,35
3.8,5
3.35,9
3.65,5
3.32,12
3.79,29
3.15,11
3.77,3
3.65,10
3.71,6
3.44,7
3.58,7
3.27,13
3.7,13
3.93,19
3.49,8
3.27,108
3.12,15
3.91,8
3.15,11
3.36,52
3.72,11
3.62,7
3.27,11
3.69,13
3.45,7
3.56,11
3.03,2
3.09,14
3.23,137
3.6,9
3.08,7
3.65,15
3.71,98
3.86,26
3.91,23
3.34,72
3.93,11
3.4,4
3.99,3
3.21,7
3.25,12
3.45,8
3.17,13
3.86,9
3.81,39
3.17,171
3.43,38
3.66,10
3.36,76
3.94,25
3.65,20
3.27,6
3.78,16
3.86,16
3.99,9
3.56,7
3.74,8
3.17,29
3.73,44
3.71,61
3.87,5
3.87,5
3.12,6
3.48,17
3.58,88
3.9,98
3.98,23
3.3,8
3.47,5
3.12,16
3.35,12
3.11,12
3.31,30
3.82,6
3.97,31
3.3,6
3.56,11
3.32,19
3.6,16
3.8,25
3.52,20
3.98,8
3.44,5
3.94,7
3.21,62
3.82,10
3.61,3
3.27,4
3.69,46
3.32,4
3.39,21
3.5,57
3.64,12
3.15,4
3.16,8
3.34,16
3.33,37
3.3,13
3.42,28
3.69,15
3.02,7
3.5,21
3.33,36
3.11,40
3.41,19
3.75,4
3.09,9
3.95,38
3.85,5
3.17,72
3.97,43
3.79,7
3.16,11
3.44,5
3.95,33
3.91,6
3.07,9
3.91,19
3.28,13
3.23,4
3.43,9
3.01,9
3.76,209
3.89,5
3.68,79
3.81,5
3.18,62
3.8,21
3.99,17
3.04,37
3.47,6
3.73,7
3.49,49
3.05,6
3.93,8
3.69,143
3.16,29
3.51,9
3.7,28
3.06,10
3.58,17
3.57,36
3.71,16
3.61,15
3.89,23
3.27,130
3.82,13
3.95,5
3.46,16
3.4,15
3.2,125
3.47,5
3.43,24
3.57,9
3.73,20
3.67,50
3.11,12
3.71,102
3.52,77
3.8,24
3.93,8
3.06,14
3.31,6
3.7,20
3.24,4
3.73,73
3.54,40
3.93,7
3.52,8
3.9,9
3.72,6
3.12,39
3.67,217
3.49,6
3.21,5
3.58,34
3.6,11
3.35,10
3.85,39
3.92,11
3.37,8
3.36,5
3.71,6
3.72,8
3.05,8
3.16,4
3.02,20
3.51,48
3.95,3
3.93,7
3.76,38
3.05,58
3.7,220
3.71,25
3.83,8
3.22,15
3.88,4
3.04,24
3.02,15
3.51,5
3.08,11
3.48,15
3.54,8
3.15,8
3.34,14
3.96,6
3.25,3
3.69,19
3.62,52
3.59,14
3.24,5
3.55,13
3.52,6
3.31,137
3.6,9
3.5,15
3.05,61
3.99,17
3.34,8
3.32,46
3.41,35
3.92,6
3.99,4
3.97,26
3.18,9
3.16,20
3.95,36
3.76,7
3.82,61
3.55,5
3.41,22
3.38,6
3.89,21
3.96,17
3.62,6
3.5,47
3.15,9
3.35,8
3.6,20
3.57,6
3.11,37
3.76,10
3.46,31
3.77,16
3.84,4
3.07,6
3.27,10
3.52,10
3.69,163
3.79,25
3.64,2
3.27,6
3.43,13
3.31,7
3.36,5
3.2,44
3.3,13
3.05,16
3.81,20
3.02,9
3.15,46
3.64,2
3.15,4
3.69,44
3.7,39
3.95,9
3.27,8
3.31,8
3.93,8
3.61,8
3.17,2
3.74,12
3.66,74
3.17,18
3.15,8
3.31,7
3.77,11
3.21,24
3.69,8
3.85,13
3.06,5
3.14,4
3.1,31
3.78,69
3.82,8
3.89,9
3.66,8
3.15,6
3.89,27
3.92,19
3.7,20
3.61,8
3.99,4
3.71,6
3.78,14
3.28,17
3.65,54
3.95,5
3.08,13
3.77,6
3.8,32
3.23,9
3.6,68
3.67,39
3.24,4
3.27,6
3.67,4
3.29,11
3.94,5
3.67,14
3.23,4
3.75,21
3.5,43
3.38,5
3.17,10
3.5,18
3.02,6
3.66,42
3.81,44
3.07,12
3.42,3
3.37,107
3.99,16
3.49,24
3.81,10
3.07,14
3.37,12
3.79,21
3.37,5
3.52,41
3.6,11
3.09,9
3.03,81
3.57,25
3.87,64
3.57,6
3.1,40
3.23,27
3.75,5
3.17,11
3.02,4
3.37,7
3.58,4
3.06,6
3.81,69
3.46,10
3.89,8
3.16,6
3.99,2
3.76,90
3.14,480
3.11,7
3.11,6
3.04,3
3.98,20
3.58,253
3.25,6
3.34,77
3.12,6
3.24,12
3.9,8
3.16,8
3.62,31
3.04,18
3.55,5
3.23,8
3.43,5
3.77,12
3.86,22
3.81,4
3.18,53
3.35,55
3.75,4
3.15,3
3.4,37
3.6,7
3.12,6
3.05,8
3.15,29
3.48,5
3.37,20
3.26,3
3.04,13
3.11,86
3.54,42
3.19,6
3.93,7
3.13,5
3.64,15
3.37,9
3.02,34
3.85,4
3.25,7
3.09,33
3.23,18
3.18,51
3.03,21
3.1,7
3.55,5
3.54,7
3.74,14
3.08,8
3.32,18
3.27,6
3.1,64
3.5,10
3.33,8
3.41,20
3.86,17
3.85,15
3.76,9
3.81,8
3.74,26
3.87,6
3.81,6
3.44,83
3.29,5
3.16,8
3.92,199
3.72,8
3.67,4
3.86,8
3.61,10
3.81,5
3.95,6
3.25,15
3.64,4
3.5,28
3.09,40
3.28,31
3.51,15
3.23,7
3.19,32
3.87,5
3.59,24
3.32,10
3.17,9
3.23,27
3.32,5
3.77,7
3.13,30
3.79,21
3.72,22
3.82,5
3.59,23
3.84,104
3.33,17
3.8,8
3.61,6
3.28,12
3.79,42
3.34,9
3.25,7
3.3,38
3.67,5
3.25,23
3.19,73
3.24,20
3.29,16
3.34,11
3.35,14
3.08,10
3.24,4
3.08,8
3.11,102
3.58,18
3.88,62
3.8,7
3.44,11
3.57,24
3.17,23
3.14,10
3.95,8
3.06,33
3.78,11
3.2,4
3.38,10
3.03,6
3.57,65
3.69,12
3.84,53
3.09,4
3.76,39
3.32,5
3.02,7
3.58,15
3.63,32
3.69,5
3.07,73
3.83,41
3.47,26
3.82,6
3.28,9
3.15,15
3.54,8
3.87,24
3.98,63
3.71,12
3.96,14
3.34,74
3.13,59
3.02,5
3.81,6
3.12,7
3.3,8
3.82,27
3.31,6
3.38,70
3.65,10
3.84,28
3.27,7
3.47,7
3.44,12
3.81,66
3.83,9
3.19,12
3.99,16
3.42,17
3.25,4
3.99,24
3.29,11
3.88,18
3.99,28
3.53,28
3.98,4
3.13,4
3.25,8
3.18,10
3.4,48
3.87,6
3.77,100
3.35,12
3.33,134
3.72,20
3.69,62
3.89,10
3.24,5
3.13,11
3.67,36
3.04,113
3.29,4
3.03,8
3.45,7
3.64,7
3.09,19
3.12,66
3.25,13
3.44,10
3.83,19
3.8,3
3.02,45
3.8,274
3.84,4
3.05,24
3.59,16
3.75,4
3.56,2
3.2,6
3.16,8
3.71,7
3.2,30
3.7,19
3.88,6
3.93,24
3.45,43
3.15,12
3.78,3
3.75,48
3.24,7
3.84,22
3.38,14
3.57,31
3.79,6
3.56,2
3.69,5
3.57,22
3.46,26
3.74,6
3.98,11
3.09,6
3.42,36
3.16,5
3.25,9
3.96,13
3.31,77
3.69,11
3.15,6
3.31,20
3.15,14
3.62,198
3.74,10
3.45,118
3.94,34
3.94,59
3.52,32
3.42,21
3.37,66
3.8,10
3.24,6
3.64,26
3.41,8
3.66,14
3.25,20
3.55,7
3.72,4
3.93,18
3.39,4
3.43,66
3.36,53
3.6,30
3.97,124
3.76,16
3.22,44
3.13,7
3.55,6
3.98,34
3.52,7
3.66,7
3.28,9
3.71,15
3.84,42
3.95,10
3.36,5
3.69,5
3.7,194
3.13,17
3.97,58
3.71,8
3.12,5
3.19,8
3.62,12
3.85,58
3.23,15
3.11,22
3.99,8
3.57,3
3.88,230
3.48,8
3.81,102
3.4,81
3.17,238
3.77,10
3.75,6
3.06,121
3.82,7
3.24,43
3.86,19
3.93,13
3.06,7
3.25,10
3.52,18
3.34,20
3.46,16
3.42,5
3.2,58
3.46,23
3.67,11
3.55,32
3.52,11
3.59,7
3.08,25
3.02,16
3.17,8
3.99,12
3.28,21
3.37,22
3.58,13
3.08,4
3.72,19
3.03,5
3.39,70
3.37,9
3.12,8
3.71,34
3.96,5
3.18,21
3.04,379
3.84,27
3.42,3
3.13,21
3.73,33
3.46,8
3.78,6
3.55,11
3.18,15
3.16,7
3.62,26
3.12,7
3.52,13
3.03,39
3.63,22
3.16,51
3.37,91
3.13,18
3.4,23
3.07,9
3.96,6
3.34,6
3.98,8
3.83,14
3.96,28
3.5,7
3.83,31
3.12,6
3.41,49
3.04,7
3.21,9
3.42,3
3.63,11
3.01,7
3.63,10
3.96,11
3.76,10
3.34,27
3.76,16
3.81,13
3.54,24
3.03,2
3.02,14
3.04,97
3.18,8
3.95,16
3.62,9
3.06,34
3.98,10
3.46,25
3.12,11
3.87,16
3.85,258
3.87,7
3.87,5
3.95,8
3.67,4
3.82,23
3.24,47
3.94,28
3.28,30
3.77,5
3.79,75
3.8,4
3.99,4
3.47,8
3.15,28
3.61,74
3.29,203
3.03,62
3.25,3
3.47,20
3.66,51
3.16,112
3.62,2
3.09,11
3.31,5
3.85,7
3.2,4
3.75,10
3.85,10
3.67,5
3.12,9
3.53,6
3.04,5
3.79,6
3.39,102
3.3,18
3.4,17
3.88,15
4.28,24
4.05,79
4.88,32
4.77,12
4.32,10
4.96,14
4.79,12
4.09,96
4.31,19
4.02,7
4.04,8
4.63,9
4.04,27
4.95,38
4.79,18
4.03,5
4.92,16
4.65,5
4.37,60
4.34,144
4.79,13
4.13,24
4.89,4
4.12,67
4.23,28
4.14,11
4.97,18
4.2,11
4.56,5
4.45,5
4.96,109
4.94,25
4.08,3
4.33,9
4.1,18
4.18,30
4.87,14
4.4,7
4.86,7
4.28,5
4.7,7
4.29,18
4.84,24
4.31,10
4.14,2
4.09,12
4.67,29
4.42,9
4.59,17
4.35,32
4.44,10
4.41,13
4.26,54
4.36,14
4.07,93
4.02,10
4.88,24
4.74,8
4.13,25
4.01,5
4.58,14
4.57,17
4.42,5
4.9,12
4.63,12
4.1,11
4.69,112
4.32,65
4.85,14
4.06,14
4,44
4.62,2
4.59,21
4.03,10
4.76,29
4.72,110
4.78,7
4.99,17
4.86,13
4.41,36
4.31,31
4.44,22
4.38,27
4.58,5
4.17,6
4.44,63
4.54,120
4.91,10
4.39,13
4.58,69
4.34,3
4.95,10
4.8,63
4.7,44
4.3,16
4.34,19
4.04,40
4.92,15
4.32,7
4.16,9
4.08,37
4.02,8
4.6,8
4.43,9
4.62,17
4.42,6
4.76,126
4.58,7
4.99,56
4.87,17
4.97,35
4.21,4
4.39,44
4.7,6
4.9,16
4.97,14
4.84,7
4.2,17
4.75,14
4.64,28
4.83,63
4.39,9
4.95,4
4.86,35
4.19,5
4.11,10
4.16,168
4.95,8
4.53,7
4.02,65
4.24,2
4.43,10
4.95,337
4.21,28
4.44,4
4.66,60
4.45,153
4.34,12
4.82,6
4.59,10
4.42,43
4.42,11
4.09,7
4.9,21
4.89,11
4.96,9
4.7,11
4.38,22
4.77,35
4.97,6
4.17,7
4.9,14
4.32,8
4.97,23
4.98,10
4.52,18
4.05,7
4.59,98
4.46,36
4.48,6
4.69,9
4.79,51
4.52,8
4.79,16
4.4,8
4.09,27
4.25,38
4.32,20
4.37,3
4.25,35
4.48,12
4.45,10
4.12,17
4.57,6
4.95,15
4.92,4
4.72,6
4.17,5
4.24,48
4.39,8
4.55,11
4.89,9
4.22,22
4.52,21
4.95,20
4.56,19
4.7,16
4.32,171
4.4,24
4.57,47
4.39,5
4.95,5
4.64,9
4.48,12
4.72,7
4.1,9
4.07,36
4.11,15
4.56,25
4.63,18
4.57,13
4.86,9
4.91,5
4.85,11
4.06,9
4.08,20
4.9,7
4.11,42
4.85,3
4.27,5
4.06,11
4.3,65
4.06,14
4.22,29
4.82,8
4.99,23
4.14,17
4.56,80
4.38,31
4.31,59
4.97,6
4.29,4
4.35,19
4.21,4
4.56,4
4.14,5
4.95,4
4.72,18
4.42,5
4.93,32
4.62,10
4.83,55
4.95,81
4.48,5
4.65,38
4.15,7
4.19,24
4.59,17
4.29,5
4.42,15
4.58,13
4.67,6
4.91,10
4.91,10
4.81,5
4.08,7
4.42,7
4.4,73
4.41,12
4.25,20
4.82,24
4.32,143
4.86,12
4,7
4.36,60
4.53,27
4.16,43
4.38,4
4.15,68
4.92,12
4.41,9
4.38,5
4.67,30
4.42,58
4.66,18
4.26,7
4.92,8
4.47,34
4.8,19
4.74,5
4.88,9
4,24
4.87,10
4.33,41
4.16,41
4.26,73
4.87,39
4.57,32
4.4,15
4.85,5
4.1,9
4.45,25
4.75,28
4.23,47
4.93,7
4.15,12
4.7,22
4.34,8
4.36,8
4.41,7
4.99,5
4.93,9
4.66,10
4.31,7
4.73,13
4.88,21
4.31,13
4.6,25
4.38,22
4.63,9
4.96,10
4.04,48
4.52,6
4.81,26
4.56,29
4.82,19
4.22,12
4.98,7
4.75,8
4.29,8
4.46,31
4.23,19
4.04,17
4.62,55
4.03,38
4.35,6
4.96,28
4.36,32
4.91,2
4.35,4
4.8,399
4.45,14
4.66,112
4.96,12
4.2,22
4.86,6
4.81,30
4.42,4
4.02,220
4.48,5
4.71,18
4.15,29
4.92,15
4.09,251
4.76,40
4.87,22
4.54,11
4.38,4
4.17,30
4.24,11
4.88,2
4.65,22
4.27,151
4.46,6
4.49,7
4,9
4.6,8
4.64,5
4.82,139
4.92,4
4.29,5
4.77,16
4.48,5
4.33,8
4.76,14
4.99,63
4.32,4
4.37,164
4.16,13
4.76,51
4.4,3
4.77,8
4.2,79
4.76,14
4.53,7
4.85,16
4.37,5
4.06,26
4.47,60
4.43,5
4.39,4
4.46,4
4.76,52
4.83,20
4.42,60
4.83,8
4.99,7
4.74,9
4.15,2
4.29,11
4.69,9
4.15,30
4.98,7
4.76,233
4.65,8
4.23,17
4.04,22
4.89,5
4.48,10
4.3,67
4.36,16
4.77,29
4.64,66
4.76,7
4.29,4
4.7,7
4.68,33
4.46,6
4.38,21
4.55,7
4.05,5
4,8
4.12,5
4.8,12
4.12,15
4.42,8
4.36,7
4.27,20
4.8,7
4.63,9
4.11,22
4.94,23
4.06,62
4.15,10
4.38,15
4.21,24
4.11,30
4.68,8
4.37,16
4.99,11
4.22,8
4.34,27
4.01,16
4.42,12
4.73,25
4.8,51
4.92,4
4.22,5
4.32,58
4.55,95
4.91,63
4.87,4
4.27,14
4.19,9
4.01,9
4,78
4.74,21
4.97,65
4.36,9
4.35,30
4.33,5
4.16,9
4.29,6
4.23,10
4.1,6
4.49,5
4.2,8
4.6,10
4.19,14
4.99,42
4.49,38
4.27,14
4.31,8
4.98,61
4.1,18
4.2,7
4.93,90
4.35,71
4.12,34
4.03,17
4.74,57
4.06,12
4.5,28
4.54,6
4.63,51
4.83,30
4.89,46
4.86,4
4.86,14
4.14,80
4.21,10
4.41,18
4.52,26
4.13,7
4.07,66
4.17,6
4.86,51
4.93,5
4.26,27
4.7,63
4.56,8
4.51,23
4.71,32
4.48,16
4.04,23
4.77,45
4.15,17
4.77,5
4.63,13
4.38,8
4.66,14
4.37,5
4.57,15
4.43,105
4,211
4.25,23
4.29,7
4.11,21
4.01,60
4.66,5
4.49,25
4.62,8
4.07,10
4.84,19
4.63,7
4.49,5
4.57,13
4.31,6
4.3,7
4.46,11
4.01,79
4.13,3
4.35,4
4.74,17
4.69,14
4.96,22
4.75,9
4.65,18
4.62,11
4.2,24
4.35,9
4.68,10
4.92,17
4.72,86
4.6,7
4.28,37
4.66,53
4.97,6
4.61,8
4.88,31
4.41,5
4.68,32
4.64,30
4.23,75
4,10
4.1,10
4.11,51
4.07,8
4.68,106
4.9,2
4.16,29
4.97,22
4.18,29
4.2,8
4.68,24
4.92,24
4.35,4
4.07,9
4.51,95
4.19,5
4.48,61
4.31,8
4.78,6
4.57,16
4.11,10
4.4,24
4.4,4
4.79,8
4.74,46
4.64,4
4.78,33
4.38,35
4.02,3
4.01,195
4.79,178
4.73,8
4.61,21
4.29,3
4.28,27
4.7,8
4.18,72
4.44,19
4.37,191
4.25,12
4.58,73
4.53,64
4.11,13
4.9,15
4.6,49
4.93,6
4.62,11
4.83,95
4.05,42
4.01,7
4.97,14
4.91,31
4.24,3
4.79,4
4.26,40
4.77,15
4.32,9
4.66,240
4.51,7
4.13,11
4.73,100
4.42,17
4.74,206
4.27,11
4.3,7
4.86,2
4.21,7
4.64,9
4.4,141
4.01,4
4.57,9
4.66,35
4.85,14
4.43,19
4.26,50
4.82,5
4.08,5
4.22,19
4.98,13
4.46,6
4.88,3
4.97,10
4.88,12
4.91,5
4.25,6
4.41,152
4.88,28
4.26,8
4.19,10
4.06,7
4.78,9
4.25,139
4.47,78
4.49,41
4.88,15
4.71,407
4.9,4
4.9,12
4.98,30
4.79,27
4.69,5
4,7
4.52,4
4.51,9
4.74,17
4,6
4.53,5
4.53,6
4.02,19
4.42,5
4.5,20
4.39,3
4.58,8
4.94,78
4.45,32
4.21,19
4.41,5
4.25,96
4.45,5
4.33,9
4.03,40
4.2,2
4.79,9
4.34,10
4.43,6
4.97,11
4.64,7
4.27,4
4.94,6
4.59,8
4.54,23
4.24,11
4.49,17
4.73,12
4.28,17
4.96,18
4.22,108
4.78,145
4.28,7
4.4,6
4.63,107
4.23,9
4.49,5
4.96,256
4.81,78
4.22,56
4.86,3
4.74,94
4.18,155
4.25,20
4.02,14
4.14,3
4.13,7
4.16,29
4.37,58
4.58,5
4.42,8
4.9,75
4.78,3
4.86,12
4.6,131
4.42,4
4.92,58
4.85,4
4.59,12
4.55,29
4.35,4
4.68,11
4.85,24
4.34,16
4.83,11
4.2,17
4.31,6
4.57,61
4.15,6
4.14,2
4.52,41
4.16,78
4.44,16
4.43,18
4.78,6
4.16,30
4.88,12
4.79,20
4.15,9
4.61,183
4.45,9
4.79,35
4.78,13
4.49,7
4.97,29
4.64,8
4.12,116
4.43,5
4.14,57
4.93,4
4.92,78
4.01,8
4.96,32
4.25,13
4.42,4
4.76,15
4.26,3
4.82,9
4.43,6
4.41,17
4.93,4
4.03,13
4.79,43
4.31,10
4.6,26
4.06,26
4.09,15
4.56,31
4.85,6
4.04,9
4.73,10
4.29,7
4.81,65
4.62,15
4.52,17
4.89,8
4,78
4.54,32
4.31,8
4.66,9
4.8,6
4.31,8
4.67,35
4.78,8
4.74,12
4.64,18
4.96,5
4.65,7
4.41,5
4.76,77
4.25,74
4.58,88
4.27,15
4.07,14
4.64,5
4.14,4
4.28,11
4.56,17
4.19,8
4.56,51
4.41,6
4.86,6
4.42,6
4,3
4.21,10
4.74,6
4.99,55
4.89,11
4.07,6
4.07,8
4.38,12
4.35,117
4.96,6
4.11,27
4.41,26
4.02,9
4.8,15
4.34,285
4.19,18
4.72,70
4.93,138
4.97,83
4.74,7
4.93,4
4.52,51
4.69,21
4.26,3
